Country,Industry,Gas Type,Year,Emissions
Asia,Construction,Greenhouse gas,2016,391.0023287
Asia,"Electricity, Gas, Steam and Air Conditioning Supply",Greenhouse gas,2016,8294.824312
Asia,Manufacturing,Greenhouse gas,2016,6968.33148
Asia,Mining,Greenhouse gas,2016,2536.941165
Asia,Other Services Industries,Greenhouse gas,2016,471.8844875
Asia,Total Households,Greenhouse gas,2016,2028.912905
Asia,Total Industry and Households,Greenhouse gas,2016,26768.48318
Asia,Transportation and Storage,Greenhouse gas,2016,2028.880381
Asia,"Water supply; sewerage, waste management and remediation activities",Greenhouse gas,2016,881.0888442
Europe,"Agriculture, Forestry and Fishing",Greenhouse gas,2016,754.1149367
Europe,Construction,Greenhouse gas,2016,76.33081952
Europe,"Electricity, Gas, Steam and Air Conditioning Supply",Greenhouse gas,2016,1989.950455
Europe,Manufacturing,Greenhouse gas,2016,1429.626333
Europe,Mining,Greenhouse gas,2016,335.3884876
Europe,Other Services Industries,Greenhouse gas,2016,343.551301
Europe,Total Households,Greenhouse gas,2016,1227.242486
Europe,Total Industry and Households,Greenhouse gas,2016,7226.351104
Europe,Transportation and Storage,Greenhouse gas,2016,780.9574389
Europe,"Water supply; sewerage, waste management and remediation activities",Greenhouse gas,2016,289.1888463
Northern America,"Agriculture, Forestry and Fishing",Greenhouse gas,2016,699.9427024
Northern America,Construction,Greenhouse gas,2016,110.8371828
Northern America,"Electricity, Gas, Steam and Air Conditioning Supply",Greenhouse gas,2016,1979.987643
Northern America,Manufacturing,Greenhouse gas,2016,1100.620077
Northern America,Mining,Greenhouse gas,2016,458.0240027
Northern America,Other Services Industries,Greenhouse gas,2016,943.6412114
Northern America,Total Households,Greenhouse gas,2016,1136.333843
Northern America,Total Industry and Households,Greenhouse gas,2016,7347.389091
Northern America,Transportation and Storage,Greenhouse gas,2016,870.0413338
Northern America,"Water supply; sewerage, waste management and remediation activities",Greenhouse gas,2016,47.9610961
Oceania,"Agriculture, Forestry and Fishing",Greenhouse gas,2016,124.0747232
Oceania,Construction,Greenhouse gas,2016,3.742515259
Oceania,"Electricity, Gas, Steam and Air Conditioning Supply",Greenhouse gas,2016,209.6489555
Oceania,Manufacturing,Greenhouse gas,2016,60.3258163
Oceania,Mining,Greenhouse gas,2016,66.85756238
Oceania,Other Services Industries,Greenhouse gas,2016,13.60386153
Oceania,Total Households,Greenhouse gas,2016,68.67039414
Oceania,Total Industry and Households,Greenhouse gas,2016,647.6718359
Oceania,Transportation and Storage,Greenhouse gas,2016,85.67117218
Oceania,"Water supply; sewerage, waste management and remediation activities",Greenhouse gas,2016,15.07683545
Africa,"Agriculture, Forestry and Fishing",Greenhouse gas,2017,866.5754581
Africa,Construction,Greenhouse gas,2017,16.15473657
Africa,"Electricity, Gas, Steam and Air Conditioning Supply",Greenhouse gas,2017,486.0074661
Africa,Manufacturing,Greenhouse gas,2017,410.9039411
Africa,Mining,Greenhouse gas,2017,513.941327
Africa,Other Services Industries,Greenhouse gas,2017,41.72377789
Africa,Total Households,Greenhouse gas,2017,318.7643331
Africa,Total Industry and Households,Greenhouse gas,2017,3106.096474
Africa,Transportation and Storage,Greenhouse gas,2017,262.0538627
Africa,"Water supply; sewerage, waste management and remediation activities",Greenhouse gas,2017,189.9715713
Asia,"Agriculture, Forestry and Fishing",Greenhouse gas,2017,3173.490867
Asia,Construction,Greenhouse gas,2017,384.0771474
Asia,"Electricity, Gas, Steam and Air Conditioning Supply",Greenhouse gas,2017,8740.916303
Asia,Manufacturing,Greenhouse gas,2017,7008.621698
Asia,Mining,Greenhouse gas,2017,2560.944015
Asia,Other Services Industries,Greenhouse gas,2017,481.7001117
Asia,Total Households,Greenhouse gas,2017,2093.863732
Asia,Total Industry and Households,Greenhouse gas,2017,27461.67926
Asia,Transportation and Storage,Greenhouse gas,2017,2118.807733
Asia,"Water supply; sewerage, waste management and remediation activities",Greenhouse gas,2017,899.2576471
Europe,"Agriculture, Forestry and Fishing",Greenhouse gas,2017,751.4264095
Europe,Construction,Greenhouse gas,2017,77.64882569
Europe,"Electricity, Gas, Steam and Air Conditioning Supply",Greenhouse gas,2017,1959.55777
Europe,Manufacturing,Greenhouse gas,2017,1472.212051
Europe,Mining,Greenhouse gas,2017,339.2858035
Europe,Other Services Industries,Greenhouse gas,2017,363.3481774
Europe,Total Households,Greenhouse gas,2017,1234.684802
Europe,Total Industry and Households,Greenhouse gas,2017,7291.496261
Europe,Transportation and Storage,Greenhouse gas,2017,800.8361662
Europe,"Water supply; sewerage, waste management and remediation activities",Greenhouse gas,2017,292.4962548
Northern America,"Agriculture, Forestry and Fishing",Greenhouse gas,2017,702.1621963
Northern America,Construction,Greenhouse gas,2017,118.6678534
Northern America,"Electricity, Gas, Steam and Air Conditioning Supply",Greenhouse gas,2017,1899.704683
Northern America,Manufacturing,Greenhouse gas,2017,1098.722497
Northern America,Mining,Greenhouse gas,2017,483.7420185
Northern America,Other Services Industries,Greenhouse gas,2017,945.8842608
Northern America,Total Households,Greenhouse gas,2017,1136.000604
Northern America,Total Industry and Households,Greenhouse gas,2017,7320.713821
Northern America,Transportation and Storage,Greenhouse gas,2017,887.319825
Northern America,"Water supply; sewerage, waste management and remediation activities",Greenhouse gas,2017,48.50988336
Oceania,"Agriculture, Forestry and Fishing",Greenhouse gas,2017,128.498952
Oceania,Construction,Greenhouse gas,2017,4.113914901
Oceania,"Electricity, Gas, Steam and Air Conditioning Supply",Greenhouse gas,2017,204.8516713
Oceania,Manufacturing,Greenhouse gas,2017,59.76533982
Oceania,Mining,Greenhouse gas,2017,72.4413902
Oceania,Other Services Industries,Greenhouse gas,2017,13.60684954
Oceania,Total Households,Greenhouse gas,2017,69.53755168
Oceania,Total Industry and Households,Greenhouse gas,2017,655.9540136
Oceania,Transportation and Storage,Greenhouse gas,2017,87.80097975
Oceania,"Water supply; sewerage, waste management and remediation activities",Greenhouse gas,2017,15.33736444
Africa,"Agriculture, Forestry and Fishing",Greenhouse gas,2018,881.8525813
Africa,Construction,Greenhouse gas,2018,17.34363861
Africa,"Electricity, Gas, Steam and Air Conditioning Supply",Greenhouse gas,2018,490.3078705
Africa,Manufacturing,Greenhouse gas,2018,431.2149201
Africa,Mining,Greenhouse gas,2018,521.7753647
Africa,Other Services Industries,Greenhouse gas,2018,40.82551616
Africa,Total Households,Greenhouse gas,2018,321.7173861
Africa,Total Industry and Households,Greenhouse gas,2018,3167.559007
Africa,Transportation and Storage,Greenhouse gas,2018,267.4306103
Africa,"Water supply; sewerage, waste management and remediation activities",Greenhouse gas,2018,195.0911189
Asia,"Agriculture, Forestry and Fishing",Greenhouse gas,2018,3166.517308
Asia,Construction,Greenhouse gas,2018,394.0602174
Asia,"Electricity, Gas, Steam and Air Conditioning Supply",Greenhouse gas,2018,9225.116737
Asia,Manufacturing,Greenhouse gas,2018,7224.153139
Asia,Mining,Greenhouse gas,2018,2658.248582
Asia,Other Services Industries,Greenhouse gas,2018,475.9744773
Asia,Total Households,Greenhouse gas,2018,2114.352518
Asia,Total Industry and Households,Greenhouse gas,2018,28361.69571
Asia,Transportation and Storage,Greenhouse gas,2018,2187.821345
